Country,Date,AnnualGDP,AnnualGDP1,GDP _Growth_percentage
United States,1999,"€9,036,592M","$9,631,200M",4.8%
Euro zone,1999,"€6,456,826M","$7,113,797M",2.9%
United Kingdom,1999,"€1,578,395M","$1,682,590M",3.3%
Germany,1999,"€2,059,480M","$2,197,130M",1.9%
France,1999,"€1,400,999M","$1,492,670M",3.4%
Japan,1999,"€4,161,747M","$4,635,980M",-0.2%
Spain,1999,"€595,723M","$635,968M",4.5%
Italy,1999,"€1,175,150M","$1,253,690M",1.6%
Portugal,1999,"€119,603M","$127,597M",3.9%
Greece,1999,"€139,945M","$148,151M",3.1%
Ireland,1999,"€92,791M","$98,993M",10.5%
Andorra,1999,"€1,473M","$1,240M",4.1%
United Arab Emirates,1999,"€77,749M","$82,865M",3.8%
Afghanistan,1999,"€2,552M","$2,720M",-4.9%
Antigua and Barbuda,1999,€719M,$766M,3.7%
Albania,1999,"€3,019M","$3,209M",12.9%
Armenia,1999,"€1,731M","$1,845M",3.2%
Angola,1999,"€7,061M","$7,526M",2.2%
Argentina,1999,"€297,427M","$316,998M",-3.4%
Austria,1999,"€203,851M","$217,475M",3.6%
Australia,1999,"€400,145M","$411,059M",3.9%
Azerbaijan,1999,"€4,298M","$4,581M",11.4%
Bosnia and Herzegovina,1999,"€5,410M","$5,766M",10.8%
Barbados,1999,"€2,786M","$2,969M",0.3%
Bangladesh,1999,"€49,830M","$53,109M",4.9%
Belgium,1999,"€242,308M","$258,500M",3.5%
Burkina Faso,1999,"€3,179M","$3,388M",7.3%
Bulgaria,1999,"€12,804M","$13,628M",-8.4%
Bahrain,1999,"€7,114M","$7,582M",6.0%
Burundi,1999,€813M,$866M,1.2%
Benin,1999,"€3,454M","$3,681M",4.4%
Brunei,1999,"€4,776M","$5,090M",3.1%
Bolivia,1999,"€7,758M","$8,269M",0.4%
Brazil,1999,"€562,622M","$599,642M",0.5%
Bahamas,1999,"€7,210M","$7,684M",7.1%
Bhutan,1999,€365M,$389M,7.1%
Botswana,1999,"€4,958M","$5,284M",9.7%
Belarus,1999,"€11,384M","$12,133M",3.4%
Belize,1999,€688M,$733M,8.8%
Canada,1999,"€636,318M","$678,417M",5.2%
Democratic Republic of the Congo,1999,"€17,965M","$19,147M",-3.8%
Central African Republic,1999,€975M,"$1,039M",2.9%
Republic of the Congo,1999,"€2,483M","$2,646M",-3.7%
Switzerland,1999,"€280,221M","$298,195M",1.7%
Ivory Coast,1999,"€16,057M","$17,114M",1.6%
Chile,1999,"€70,461M","$75,097M",-0.4%
Cameroon,1999,"€10,035M","$10,695M",4.1%
China,1999,"€1,021,158M","$1,088,350M",7.7%
Colombia,1999,"€96,726M","$103,091M",-5.2%
Costa Rica,1999,"€13,379M","$14,259M",3.9%
Cuba,1999,"€26,613M","$28,365M",6.2%
Cape Verde,1999,€616M,$657M,11.9%
Cyprus,1999,"€9,840M","$10,502M",5.0%
Czech Republic,1999,"€61,083M","$65,173M",1.4%
Djibouti,1999,€712M,$759M,2.9%
Denmark,1999,"€166,972M","$177,964M",2.9%
Dominica,1999,€312M,$332M,0.4%
Dominican Republic,1999,"€20,770M","$22,137M",5.9%
Algeria,1999,"€45,829M","$48,845M",3.2%
Ecuador,1999,"€18,521M","$19,740M",-4.7%
Estonia,1999,"€5,407M","$5,772M",-0.4%
Egypt,1999,"€89,172M","$95,039M",6.1%
Eritrea,1999,€576M,$614M,0.2%
Ethiopia,1999,"€7,438M","$7,927M",6.3%
Finland,1999,"€126,916M","$135,398M",4.4%
Fiji,1999,"€1,974M","$2,104M",8.7%
Federated States of Micronesia,1999,€206M,$220M,1.5%
Gabon,1999,"€4,659M","$4,966M",-8.9%
Grenada,1999,€452M,$482M,7.0%
Georgia,1999,"€2,706M","$2,884M",2.9%
Ghana,1999,"€16,668M","$17,765M",4.5%
The Gambia,1999,€972M,"$1,036M",6.4%
Guinea,1999,"€4,502M","$4,798M",3.8%
Equatorial Guinea,1999,€692M,$738M,26.4%
Guatemala,1999,"€16,317M","$17,391M",3.7%
Guinea-Bissau,1999,€544M,$580M,16.8%
Guyana,1999,"€1,396M","$1,488M",3.0%
Hong Kong,1999,"€153,175M","$165,734M",2.6%
