Classification,year,artist,country
Architecture,1987,Christian de Portzamparc,France
Architecture,1987,Rem Koolhaas,Netherlands
Architecture,1987,Madelon Vriesendorp,Netherlands
Architecture,1979,Roger C. Ferri,United States
Architecture,1978,Michael Graves,United States
Architecture,1974,Aldo Rossi,Italy
Architecture,1974,Gianni Braghieri,Italy
Architecture,1974,M. Bosshard,Italy
Architecture,1977,Steven Holl,United States
Architecture,1980,Steven Holl,United States
Architecture,1984,Steven Holl,United States
Architecture,1985,Steven Holl,United States
Architecture,1986,Steven Holl,United States
Architecture,1989,Paul Rudolph,United States
Architecture,1979,Peter Cook,United Kingdom
Architecture,1989,Diller + Scofidio,United States
Architecture,1989,Elizabeth Diller,United States
Architecture,1989,Ricardo Scofidio,United States
Architecture,1991,Zaha Hadid,United Kingdom
Architecture,1980,Fumihiko Maki,Japan
Architecture,1975,Rem Koolhaas,Netherlands
Architecture,1975,Rem Koolhaas,United Kingdom
Architecture,1975,Zoe Zenghelis,Netherlands
Architecture,1975,Zoe Zenghelis,United Kingdom
Architecture,1975,Elia Zenghelis,Netherlands
Architecture,1975,Elia Zenghelis,United Kingdom
Architecture,1975,Madelon Vriesendorp,Netherlands
Architecture,1975,Madelon Vriesendorp,United Kingdom
Architecture,1987,Mario Bellini,Italy
Architecture,1978,Venturi and Rauch,United States
Architecture,1978,Robert Venturi,United States
Architecture,1978,John Rauch,United States
Architecture,1978,Denise Scott Brown,United States
Architecture,1981,Venturi,United States
Architecture,1981,Rauch and Scott Brown,United States
Architecture,1981,Robert Venturi,United States
Architecture,1981,John Rauch,United States
Architecture,1981,Denise Scott Brown,United States
Architecture,1983,Venturi,United States
Architecture,1983,Rauch and Scott Brown,United States
Architecture,1983,Robert Venturi,United States
Architecture,1983,John Rauch,United States
Architecture,1983,Denise Scott Brown,United States
Architecture,1975,Emilio Ambasz,Argentina
Architecture,1979,Raimund Abraham,United States
Architecture,1985,Tadao Ando,Japan
Architecture,1989,Tadao Ando,Japan
Architecture,1992,Arata Isozaki,Japan
Architecture,1992,Neil M. Denari,United States
Architecture,1986,Mario Botta,Switzerland
Architecture,1985,Mario Botta,Switzerland
Architecture,1982,Mario Botta,Switzerland
Architecture,1984,Mario Botta,Switzerland
Architecture,1974,Alessandro Mendini,Italy
Architecture,1974,Leon Krier,Luxembourg
Architecture,1979,Daniel Libeskind,United States
Architecture,1987,Thom Mayne,United States
Architecture,1987,Andrew Zago,United States
Architecture,1981,Rem Koolhaas,Netherlands
Architecture,1981,Rem Koolhaas,United Kingdom
Architecture,1981,Elia Zenghelis,Netherlands
Architecture,1981,Elia Zenghelis,United Kingdom
Architecture,1981,Zoe Zenghelis,Netherlands
Architecture,1981,Zoe Zenghelis,United Kingdom
Architecture,1981,Madelon Vriesendorp,Netherlands
Architecture,1981,Madelon Vriesendorp,United Kingdom
Architecture,1976,Aldo Rossi,Italy
Architecture,1995,Joel Sanders,United States
Architecture,1975,Massimo Scolari,Italy
Architecture,1977,Leon Krier,Luxembourg
Architecture,1980,Leon Krier,Luxembourg
Architecture,1976,Richard Meier,United States
Architecture,1975,Richard Meier,United States
Architecture,1979,Richard Meier,United States
Architecture,1992,Raimund Abraham,United States
Architecture,1992,Emilio Ambasz,Argentina
Architecture,1993,Raimund Abraham,United States
Architecture,1991,Rafael Viñoly,United States
Architecture,1989,Mario Bellini,Italy
Architecture,1991,Mario Bellini,Italy
Architecture,1989,Rafael Viñoly,United States
Architecture,1996,Mario Botta,Switzerland
Architecture,1988,Santiago Calatrava,Spain
Architecture,1992,Santiago Calatrava,Spain
Architecture,1985,Norman Foster,United Kingdom
Architecture,1982,Zaha Hadid,United Kingdom
Architecture,1990,Arata Isozaki,Japan
Architecture,1972,Rem Koolhaas,Netherlands
Architecture,1972,Rem Koolhaas,United Kingdom
Architecture,1972,Elia Zenghelis,Netherlands
Architecture,1972,Elia Zenghelis,United Kingdom
Architecture,1972,Madelon Vriesendorp,Netherlands
Architecture,1972,Madelon Vriesendorp,United Kingdom
Architecture,1972,Zoe Zenghelis,Netherlands
Architecture,1972,Zoe Zenghelis,United Kingdom
Architecture,1984,Raimund Abraham,United States
Architecture,1979,Emilio Ambasz,Argentina
Architecture,1991,Tadao Ando,Japan
Architecture,1994,Ricardo Bofill,Spain
Architecture,1994,Mario Botta,Switzerland
Architecture,1991,Diller + Scofidio,United States
Architecture,1991,Elizabeth Diller,United States
Architecture,1991,Ricardo Scofidio,United States
Architecture,1979,Ricardo Bofill,Spain
Architecture,1990,Frank O. Gehry,United States
Architecture,1993,Wolf D. Prix,Austria
Architecture,1993,Wolf D. Prix,Poland
Architecture,1993,Helmut Swiczinsky,Austria
Architecture,1993,Helmut Swiczinsky,Poland
Architecture,1976,Cesar Pelli,United States
Architecture,1994,Chuck Hoberman,United States
Architecture,1985,Ricardo Bofill,Spain
Architecture,1989,Steven Holl,United States
Architecture,1994,Hans Hollein,Austria
Architecture,1984,Leon Krier,Luxembourg
Architecture,1992,Scott Marble,United States
Architecture,1992,Karen Fairbanks,United States
Architecture,1992,Yoshito Takahashi,Japan
Architecture,1978,Ricardo Bofill,Spain
